"last_name, first_name","player_id","year","pa","k_percent","bb_percent","xba","xslg","woba","xwoba","xobp","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Lindor, Francisco",596019,2024,689,18.4,8.1,".283",".528",".363",".379",".353",35.4,13.6,47.4,"101.098117236","95.07615815",23.7,48.7
"Rafaela, Ceddanne",678882,2024,571,26.4,2.6,".229",".368",".286",".273",".259",34.9,7.5,36.9,"98.205036294","93.166643181",33,61.9
"Stott, Bryson",681082,2024,571,16.3,9.3,".254",".363",".296",".306",".325",35.3,3.6,30.8,"97.149266143","92.631038831",17,44.1
"McCutchen, Andrew",457705,2024,515,25.8,11.3,".227",".421",".325",".327",".324",31.9,12,36.9,"99.424962893","93.831123091",28.9,42
"Suárez, Eugenio",553993,2024,640,27.5,7.7,".247",".447",".337",".330",".314",40.4,11.3,42.4,"100.570552315","94.463438988",29.1,47.2
"Turner, Justin",457759,2024,539,17.6,10.9,".252",".383",".327",".328",".352",40.1,4.6,32.5,"96.702342312","92.434680753",17,45.4
"Bellinger, Cody",641355,2024,569,15.6,7.9,".242",".391",".322",".301",".305",32.9,6.3,32.9,"97.314029213","92.768351065",22.2,49.8
"Arozarena, Randy",668227,2024,648,26.1,11.3,".219",".381",".320",".324",".335",28.4,8.3,43.5,"100.904108177","94.731331384",29.7,41
"Guerrero Jr., Vladimir",665489,2024,697,13.8,10.3,".321",".567",".398",".408",".395",35.1,13.7,54.9,"105.663720766","97.649346073",21.5,48
"Langeliers, Shea",669127,2024,534,27.2,7.7,".241",".456",".315",".328",".305",35.3,12.8,44,"102.05460686","95.451719446",29.2,49.5
"Winker, Jesse",608385,2024,508,20.9,12.4,".245",".384",".338",".329",".353",30.1,7.6,37.4,"98.91091179","93.570274815",19.6,43.2
"Torres, Gleyber",650402,2024,665,20.5,9.8,".240",".368",".313",".307",".317",38.2,6.3,35.4,"98.295655921","93.36890443",22.9,45.7
"Castellanos, Nick",592206,2024,659,21.1,6.2,".271",".441",".321",".333",".327",39,8.1,38.2,"99.266703034","93.738511581",30.1,58
"Donovan, Brendan",680977,2024,652,12.4,7.2,".277",".419",".332",".335",".343",36.6,5.5,37.6,"98.552237391","93.418618597",15.1,44.2
"Steer, Spencer",668715,2024,656,20.9,11,".235",".379",".316",".315",".328",34.2,6.4,39.9,"99.163434247","93.708755492",23.1,44.5
"Chapman, Matt",656305,2024,647,24.4,9.9,".250",".451",".340",".341",".332",31.3,12.6,48.3,"104.356012981","96.727633301",23.5,44.6
"Ramos, Heliot",671218,2024,518,26.1,7.1,".250",".481",".339",".338",".307",34.3,14.5,47.5,"102.620742924","95.895956716",28.7,50.3
"Taveras, Leody",665750,2024,529,21.2,7.9,".240",".368",".282",".295",".301",31.5,5.9,35.5,"99.173170874","93.650113205",26.2,48.8
"Suzuki, Seiya",673548,2024,585,27.4,10.8,".255",".453",".365",".346",".343",38.8,11.5,49.2,"102.565369326","95.834191408",24.5,39.6
"Cruz, Oneil",665833,2024,599,30.2,8.5,".263",".461",".331",".340",".329",32.1,15.7,54.9,"107.199352928","98.547881492",34.1,46.3
"Altuve, Jose",514888,2024,682,17.4,6.9,".262",".399",".344",".316",".321",35.4,6.5,31.2,"97.323672581","92.693762581",22.1,51.5
"Judge, Aaron",592450,2024,704,24.3,18.9,".310",".723",".476",".479",".449",40.8,26.9,61,"107.20043567","99.103701521",30.7,42
"Raleigh, Cal",663728,2024,628,28,11.1,".233",".476",".323",".346",".326",35.6,15.4,48.1,"102.032071755","95.508789467",31,52.3
"Swanson, Dansby",621020,2024,593,24.3,9.1,".244",".416",".307",".321",".316",32.6,9.2,42.7,"100.210263655","94.404024529",28.7,48.7
"Peña, Jeremy",665161,2024,650,17.1,3.8,".263",".394",".305",".310",".308",29.2,5.4,38.8,"99.323506707","93.74168435",24.9,54.2
"Vaughn, Andrew",683734,2024,619,21.3,6.1,".244",".440",".304",".319",".297",33.6,9.3,43.3,"100.921632928","94.702971332",22,49.4
"Frelick, Sal",686217,2024,524,14.9,7.4,".246",".304",".292",".278",".308",30,0.8,19.5,"94.439757846","91.272403907",12.9,41.5
"Soto, Juan",665742,2024,713,16.7,18.1,".316",".646",".421",".462",".445",35.4,19.7,57,"105.650123728","97.994705143",21.5,37.2
